date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:38	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:38%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/bg-te-acompanamos.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/bg-te-acompanamos.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:39	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:39%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/testimonio-1.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/testimonio-1.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:40	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:40%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/testimonio-2.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/testimonio-2.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:41	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:41%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/testimonio-3.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/testimonio-3.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:42	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:42%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/01.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/01.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:43	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:43%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/02.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/02.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:44	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:44%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/03.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/03.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:45	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:45%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/bg-contacto.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/bg-contacto.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:45	283132/283132	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ffb0b8-451fc%22	https://images.donweb.com/cache/js-min/22902/hacemos-tu-pagina-web-en-5-dias.min.js	C:/My%20Web%20Sites/donclon/images.donweb.com/cache/js-min/22902/hacemos-tu-pagina-web-en-5-dias.min.js	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:45	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/donclon/www.google-analytics.com/analytics.js	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:46	6767/6767	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232a8226512dd2cca5956cdb283e5bdfe%22	https://assets.customer.io/assets/track.js	C:/My%20Web%20Sites/donclon/assets.customer.io/assets/track.js	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2004%20Oct%202024%2017:48:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/donclon/www.googletagmanager.com/gtm.145445.delayed	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:47	904/904	---MC-	200	added ('OK')	text/javascript	date:Fri,%2004%20Oct%202024%2017:48:47%20GMT	https://www.google.com/recaptcha/api.js?render=6LembkgaAAAAANxaqKkF3Kc3bW3bHmIvSJhpMuIU	C:/My%20Web%20Sites/donclon/www.google.com/recaptcha/api1549.js	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:47	231864/231864	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2004%20Oct%202024%2017:48:47%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/donclon/connect.facebook.net/en_US/fbevents.js	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:48	41172/41172	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Aug%202024%2011:06:54%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/My%20Web%20Sites/donclon/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:49	35979/35979	---M--	200	added ('OK')	image/png	etag:%225f3e7239-8c8b%22	https://images.donweb.com/img/common_1_sitio_donweb.png	C:/My%20Web%20Sites/donclon/images.donweb.com/img/common_1_sitio_donweb.png	(from https://images.donweb.com/cache/css-min/22902/hacemos-tu-pagina-web-en-5-dias.min.css)
14:48:51	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:50%20GMT	https://donweb.com/es-ar/a	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/a	(from https://connect.facebook.net/en_US/fbevents.js)
14:48:52	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:52%20GMT	https://donweb.com/es-ar/POST	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/POST	(from https://connect.facebook.net/en_US/fbevents.js)
14:48:53	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:53%20GMT	https://donweb.com/es-ar/b.resolvedLink	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
14:48:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Oct%202024%2017:48:54%20GMT	https://donweb.com/signals/iwl.js	C:/My%20Web%20Sites/donclon/donweb.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:48:54	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:54%20GMT	https://donweb.com/es-ar/schema.org/	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:48:55	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:55%20GMT	https://donweb.com/es-ar/signals	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/signals	(from https://connect.facebook.net/en_US/fbevents.js)
